[186 193 186],[214 221 214],[193 200 193],[202 209 202],[201 206 202],[199 204 200],[200 202 199],[213 215 212],[194 194 192],[206 206 204],[195 195 193],[208 208 206],[183 182 180],[195 194 192],[208 207 205],[190 189 187],[80 78 81],[229 227 230],[197 195 198],[215 213 216],[101 101 101],[158 158 158],[213 213 211],[200 200 198],[197 197 195],[210 210 208],[183 185 182],[217 219 216],[195 197 194],[200 202 199],[211 213 210],[202 207 203],[209 213 212],[198 204 202],[212 214 213],[202 204 203],[192 192 190],[219 219 217],[204 206 201],[202 207 201],[193 197 196],[172 177 173],[215 211 208],[165 166 168],[45 62 78],[40 70 94],[ 36  75 106],[ 93 135 159],[127 160 167],[170 201 206],[111 139 161],[29 50 69],[229 235 235],[197 197 187],[201 202 196],[202 204 199],[193 195 194],[205 207 206],[204 204 202],[196 198 195],[201 203 198],[207 212 206],[202 203 198],[193 194 189],[209 210 205],[216 217 212],[230 231 226],[188 189 184],[103 104  99],[196 197 192],[228 230 225],[187 189 184],[171 172 167],[203 204 199],[203 203 201],[201 201 199],[204 204 202],[205 205 203],[235 235 235],[61 68 74],[47 68 85],[25 61 85],[16 65 95],[ 82 132 157],[141 174 193],[19 39 48],[0 3 6],[46 19  8],[173  93  58],[220 113  71],[164  61  28],[229 143 120],[209 152 141],[160 131 127],[60 51 46],[83 88 82],[ 99 104  98],[112 120 122],[115 123 142],[121 132 154],[127 135 154],[136 148 162],[139 156 166],[170 187 197],[ 88 102 113],[ 0  4 10],[23 27 26],[162 167 161],[212 218 214],[181 186 189],[170 169 185],[172 171 187],[169 169 179],[168 169 174],[169 168 174],[172 171 179],[168 168 178],[180 184 195],[107 110 125],[50 59 68],[126 140 143],[215 235 226],[193 214 195],[145 168 139],[168 188 153],[174 195 156],[179 204 164],[173 196 154],[174 190 151],[175 190 149],[153 174 135],[146 170 134],[73 95 72],[ 0 21  6],[62 75 68],[89 99 88],[147 158 126],[162 175 132],[170 185 142],[186 203 161],[164 182 144],[164 182 144],[167 183 146],[171 187 150],[167 184 152],[175 192 160],[178 195 161],[168 186 148],[168 186 146],[175 193 151]
[193 200 193],[195 202 195],[207 214 207],[207 214 207],[203 208 204],[205 210 206],[204 206 203],[202 204 201],[198 198 196],[211 211 209],[201 201 199],[187 187 185],[206 205 203],[203 202 200],[150 149 147],[164 163 161],[226 224 225],[207 205 206],[111 109 110],[86 84 85],[206 206 206],[205 205 203],[187 187 185],[191 191 189],[193 193 191],[206 206 204],[171 173 170],[225 227 224],[172 174 171],[197 199 196],[199 201 198],[212 214 213],[195 199 198],[200 204 203],[198 200 199],[193 195 194],[211 211 209],[210 210 208],[202 204 199],[200 205 199],[192 196 195],[178 183 179],[119 115 112],[174 175 177],[45 62 78],[37 67 91],[ 44  83 114],[ 92 134 158],[121 154 161],[170 201 206],[104 132 154],[35 56 75],[226 232 232],[200 200 190],[196 197 191],[203 205 200],[215 217 216],[207 209 208],[183 183 181],[197 197 195],[200 202 197],[179 181 176],[192 193 188],[207 208 203],[215 216 211],[192 193 188],[139 140 135],[125 126 121],[205 206 201],[211 212 207],[173 175 170],[190 192 187],[213 214 209],[206 207 202],[188 188 186],[188 188 186],[201 201 199],[207 207 205],[235 235 235],[41 48 54],[53 76 92],[14 52 75],[19 69 96],[ 78 128 153],[131 167 183],[44 64 73],[ 0  7 12],[20  0  0],[164  89  60],[204 106  71],[153  64  34],[168  92  69],[242 186 173],[186 151 145],[88 78 76],[85 87 86],[102 106 105],[112 117 123],[113 120 139],[126 134 157],[133 140 158],[144 152 165],[118 131 140],[ 0 13 22],[ 0  3 17],[ 3 13 23],[0 2 4],[0 6 4],[10 16 16],[152 157 160],[193 193 205],[180 180 192],[176 181 187],[160 163 168],[172 171 179],[164 163 171],[170 170 180],[165 167 179],[185 189 200],[183 190 198],[84 95 97],[31 46 41],[138 156 144],[163 180 162],[167 183 157],[181 197 168],[173 194 161],[174 196 158],[175 193 153],[171 187 148],[141 161 124],[144 168 136],[ 96 118  95],[ 8 26 12],[60 73 66],[ 95 107  95],[146 160 127],[159 174 133],[172 189 147],[183 201 161],[168 186 148],[162 180 142],[169 185 146],[170 186 149],[165 182 146],[174 191 155],[179 196 160],[170 188 150],[172 190 150],[180 198 156]
[196 201 195],[206 211 205],[204 209 203],[198 203 197],[197 199 194],[206 208 203],[193 195 192],[191 193 190],[200 200 198],[185 185 183],[190 190 188],[201 201 199],[192 192 190],[160 160 158],[211 212 207],[217 218 213],[176 176 174],[53 53 51],[161 161 159],[213 213 211],[183 183 181],[184 185 180],[192 193 188],[184 185 180],[187 188 183],[209 210 205],[186 188 185],[214 216 213],[193 195 194],[203 205 204],[195 197 196],[216 218 217],[189 193 192],[216 220 219],[189 191 190],[190 190 190],[207 207 205],[198 198 196],[207 209 204],[195 200 194],[145 149 148],[171 176 172],[228 224 221],[162 163 165],[46 63 79],[38 68 92],[ 40  79 108],[ 92 134 158],[125 158 165],[177 207 215],[102 130 152],[45 66 85],[225 231 231],[203 203 193],[193 194 188],[207 209 204],[208 210 209],[186 188 187],[186 186 184],[182 182 180],[194 196 191],[192 194 189],[202 202 200],[212 212 210],[154 154 152],[143 143 141],[202 203 198],[233 234 229],[193 194 189],[199 200 195],[179 180 175],[188 189 184],[208 209 204],[195 196 191],[191 192 187],[194 195 190],[201 201 199],[201 201 199],[244 243 241],[48 57 62],[39 66 83],[30 72 96],[14 66 90],[ 80 131 152],[145 183 194],[16 41 48],[ 0  2 11],[19  0  0],[140  75  57],[178 101  75],[120  55  37],[121  64  47],[165 108  91],[150 108  96],[77 63 63],[89 88 96],[105 103 114],[127 126 140],[122 127 149],[137 142 164],[122 124 139],[71 71 83],[0 0 9],[ 0  3 13],[21 33 49],[25 38 54],[12 24 36],[ 0  2 11],[0 4 8],[0 1 4],[52 51 56],[154 155 159],[166 176 177],[193 203 205],[167 167 177],[161 159 170],[175 175 185],[162 165 172],[163 167 170],[164 170 170],[182 190 192],[186 196 198],[73 82 87],[58 66 69],[133 139 137],[161 171 160],[189 207 185],[181 205 171],[178 199 158],[168 189 148],[144 165 134],[140 163 137],[116 135 116],[ 0 12  0],[66 79 72],[82 94 82],[142 159 127],[151 172 131],[168 190 152],[176 198 160],[165 188 146],[158 176 136],[168 183 142],[167 182 141],[165 182 140],[174 192 150],[180 198 156],[172 190 148],[174 192 152],[183 201 161]
[191 196 190],[204 209 203],[203 208 202],[208 213 207],[201 203 198],[190 192 187],[201 203 200],[191 193 190],[187 187 185],[199 199 197],[206 206 204],[179 179 177],[175 175 173],[217 217 215],[190 191 186],[121 122 117],[97 98 93],[189 190 184],[213 214 209],[193 194 188],[186 187 182],[195 196 191],[199 200 195],[189 190 185],[198 199 194],[202 203 198],[208 210 207],[209 211 208],[205 207 206],[212 214 213],[217 218 220],[204 205 207],[205 209 208],[201 205 204],[197 197 197],[192 192 192],[191 191 189],[207 207 205],[161 163 158],[162 167 161],[190 194 193],[196 201 197],[206 202 199],[155 156 158],[48 66 80],[39 69 93],[ 41  80 109],[ 90 132 154],[125 158 167],[176 206 214],[ 96 124 146],[44 65 84],[220 226 226],[199 199 189],[192 193 187],[209 211 206],[193 195 194],[190 192 191],[190 190 188],[201 201 199],[220 222 217],[224 226 221],[162 162 160],[180 180 178],[168 168 166],[211 211 209],[204 205 200],[197 198 193],[209 210 205],[195 196 191],[182 183 178],[186 187 182],[197 198 193],[191 192 187],[196 197 192],[196 197 192],[205 206 201],[198 198 196],[241 240 238],[46 55 60],[50 79 97],[17 59 83],[19 69 92],[ 66 114 134],[139 175 187],[21 44 52],[ 0  4 13],[11  0  1],[112  67  62],[76 22 12],[62 19 10],[54 14  2],[42  0  0],[67 27 15],[64 49 52],[ 93  91 104],[107 105 119],[141 140 156],[126 127 145],[ 88  91 108],[ 9 11 23],[0 0 9],[10 14 23],[14 22 33],[ 0 11 29],[ 81  94 113],[ 75  91 107],[29 45 58],[ 3 16 24],[0 5 7],[0 3 6],[0 1 2],[54 64 65],[132 142 143],[181 184 191],[205 205 215],[163 163 171],[167 170 175],[161 165 168],[150 154 155],[166 171 174],[157 162 166],[194 198 207],[176 180 191],[82 85 92],[86 91 94],[125 138 129],[148 167 148],[187 207 179],[155 176 145],[146 169 143],[133 155 134],[121 140 120],[ 6 22  9],[49 61 57],[83 96 86],[138 157 125],[149 171 132],[163 187 151],[174 198 162],[163 185 146],[156 177 134],[166 181 140],[164 179 138],[164 181 139],[175 193 151],[180 198 156],[170 188 146],[172 190 150],[181 199 159]
[186 189 182],[215 218 211],[209 211 206],[192 194 189],[213 215 210],[192 194 189],[192 193 188],[176 177 172],[215 216 211],[187 188 183],[170 171 166],[202 203 198],[215 216 211],[151 152 147],[101 102  97],[166 167 162],[224 225 219],[187 188 180],[195 196 190],[201 202 194],[176 177 171],[200 201 195],[188 191 184],[203 206 199],[198 200 195],[216 218 213],[203 205 202],[199 201 200],[205 206 208],[215 216 218],[203 204 208],[208 209 211],[189 193 192],[195 199 198],[196 196 196],[205 205 205],[156 156 154],[162 162 160],[173 175 170],[226 231 225],[192 196 195],[200 205 201],[216 212 209],[149 150 152],[56 74 88],[39 70 91],[ 43  82 111],[ 83 125 147],[125 158 167],[171 201 209],[ 95 123 145],[44 65 84],[221 227 227],[196 196 186],[198 199 193],[209 211 206],[179 181 180],[193 195 194],[202 202 200],[205 205 203],[187 189 184],[149 151 146],[156 156 154],[170 170 168],[216 218 215],[198 200 197],[195 197 194],[214 216 213],[196 198 193],[196 198 193],[196 197 191],[206 207 201],[191 192 186],[197 198 192],[199 198 193],[191 190 185],[200 199 194],[194 193 189],[238 237 233],[53 60 66],[46 73 94],[24 64 90],[23 71 93],[ 78 123 142],[152 184 197],[28 46 56],[0 0 9],[11  1 10],[111  91 102],[46 21 27],[47 23 21],[57 33 23],[42 14  0],[86 62 52],[62 50 54],[ 94  91 100],[135 139 150],[83 87 98],[40 40 50],[0 0 7],[ 0  5 11],[ 0 13 20],[20 38 48],[10 26 41],[39 50 72],[ 77  87 112],[ 63  81 101],[ 72  98 111],[43 72 76],[14 40 41],[ 0  4 10],[ 3 10 16],[ 8 13 16],[0 1 2],[65 66 70],[138 139 144],[187 192 198],[191 198 204],[164 167 176],[169 172 179],[166 169 174],[165 169 172],[165 170 173],[160 165 168],[183 186 191],[149 153 162],[ 93 101 112],[ 86  96 105],[111 123 119],[157 173 160],[149 167 151],[140 162 141],[121 143 120],[ 3 24  5],[39 56 50],[81 97 87],[137 158 125],[152 175 133],[161 185 149],[179 203 169],[162 184 146],[161 182 141],[163 181 139],[164 181 139],[163 181 143],[175 193 155],[180 198 160],[169 187 149],[169 187 149],[179 197 159]
[197 200 193],[209 212 205],[201 203 198],[197 199 194],[194 196 191],[193 195 190],[192 193 188],[227 228 223],[153 154 149],[195 196 191],[212 213 208],[193 194 189],[103 104  99],[130 131 126],[206 207 202],[201 202 196],[201 202 196],[170 171 163],[215 216 208],[186 187 179],[209 210 202],[177 178 170],[189 192 185],[196 199 192],[205 207 202],[204 206 203],[207 209 208],[213 215 214],[196 197 199],[200 201 203],[206 207 211],[204 205 207],[193 197 196],[205 209 208],[224 224 224],[134 134 134],[199 199 197],[194 194 192],[205 207 202],[191 193 188],[190 194 193],[202 204 201],[210 206 203],[161 162 164],[58 76 90],[29 60 81],[ 46  85 114],[ 96 138 162],[129 162 171],[169 199 207],[ 97 125 149],[45 66 87],[220 226 226],[192 192 182],[200 201 195],[200 202 197],[206 208 207],[203 205 204],[213 212 210],[155 155 153],[149 150 145],[183 185 180],[206 206 204],[190 190 188],[179 181 178],[205 207 204],[195 197 194],[190 192 189],[191 193 188],[198 200 195],[223 224 218],[188 189 183],[189 190 184],[198 199 193],[198 197 192],[191 190 185],[199 198 193],[197 196 191],[241 240 236],[61 69 72],[49 71 94],[30 65 93],[26 71 94],[ 91 132 150],[104 132 146],[ 2 16 27],[18 21 28],[1 0 7],[137 133 148],[126 120 134],[39 30 35],[77 66 60],[139 121 109],[62 44 32],[52 38 37],[100  94  98],[46 49 56],[ 0  2 10],[ 2  7 11],[0 4 7],[ 3 31 35],[22 55 64],[43 75 86],[53 79 94],[50 62 84],[ 69  80 102],[ 68  89 108],[50 79 93],[ 95 133 136],[104 140 140],[47 75 78],[11 32 37],[0 4 7],[ 4 12 14],[0 1 4],[0 0 4],[61 66 69],[126 131 135],[208 211 220],[185 188 197],[167 167 175],[166 169 174],[161 167 167],[165 171 171],[167 170 175],[169 173 184],[181 187 203],[144 151 167],[113 122 129],[67 79 79],[81 96 89],[146 164 152],[149 170 153],[ 0 19  4],[44 60 57],[77 94 84],[135 156 123],[151 174 132],[161 183 147],[182 204 168],[162 184 146],[161 184 142],[160 181 138],[160 181 140],[162 179 143],[175 192 158],[180 197 161],[168 185 149],[168 186 148],[179 197 159]
[194 195 189],[199 200 194],[201 202 196],[201 202 196],[185 186 181],[211 212 207],[189 190 185],[150 151 146],[200 201 196],[246 247 242],[129 130 125],[129 130 125],[175 176 171],[206 207 202],[205 207 202],[193 196 189],[199 202 195],[190 193 184],[197 200 193],[183 186 179],[211 214 207],[184 187 180],[193 195 190],[204 206 201],[201 203 200],[205 207 204],[213 215 214],[204 206 205],[209 210 212],[190 191 193],[208 209 211],[209 210 212],[218 222 221],[145 150 146],[145 145 145],[195 195 195],[225 224 222],[185 185 183],[201 203 198],[205 207 202],[184 188 187],[190 192 189],[212 208 205],[150 151 153],[59 77 91],[29 60 81],[ 47  86 115],[ 85 127 151],[130 163 172],[165 195 203],[ 91 119 143],[43 64 85],[211 217 217],[190 190 180],[204 205 199],[195 197 192],[217 219 218],[192 194 193],[127 126 124],[179 179 177],[214 215 210],[215 217 212],[193 193 191],[194 194 192],[192 194 193],[188 190 189],[191 193 190],[218 220 217],[207 209 204],[215 217 212],[189 190 184],[189 190 184],[207 208 202],[198 199 193],[191 190 185],[195 194 189],[198 197 192],[201 200 195],[240 239 234],[53 58 62],[58 76 98],[36 66 94],[24 61 88],[40 75 97],[ 87 109 123],[15 28 37],[ 6 15 22],[0 0 9],[129 129 141],[130 129 143],[11 13 25],[23 21 22],[110  94  81],[137 116  99],[56 38 24],[10  0  0],[4 0 3],[ 6 10 19],[ 0  8 12],[22 53 58],[23 71 83],[ 35  88 102],[ 69 115 130],[35 68 83],[50 69 84],[52 65 81],[ 72  91 108],[ 60  88 100],[ 91 126 130],[143 185 183],[119 168 164],[ 95 140 137],[39 75 75],[11 35 37],[40 50 52],[0 0 2],[0 1 0],[0 2 1],[35 36 38],[141 142 146],[217 220 225],[178 181 188],[162 167 173],[166 171 175],[162 165 170],[161 166 172],[157 166 173],[169 178 183],[170 177 183],[151 158 164],[138 147 154],[54 67 73],[77 93 93],[21 37 36],[38 54 53],[ 86 104  92],[135 155 120],[149 170 127],[163 183 146],[179 201 163],[164 186 147],[159 182 140],[160 183 141],[158 180 141],[157 177 140],[172 192 157],[178 198 161],[166 186 149],[168 186 148],[180 198 158]
[203 204 198],[213 214 208],[193 194 188],[177 178 172],[217 218 213],[160 161 156],[180 181 176],[232 233 228],[224 225 220],[78 79 74],[181 182 177],[187 188 183],[209 210 205],[182 183 178],[175 177 172],[193 195 190],[190 193 186],[178 181 174],[218 220 215],[179 181 176],[192 194 189],[197 199 194],[200 202 197],[212 214 211],[204 206 203],[202 204 201],[209 211 210],[196 198 197],[196 197 199],[190 191 193],[223 224 226],[210 212 211],[104 109 105],[183 188 184],[219 219 219],[182 182 182],[213 212 210],[212 212 210],[197 198 193],[205 207 202],[187 191 190],[186 188 185],[214 210 207],[139 140 142],[53 71 85],[29 60 81],[ 50  89 118],[ 87 129 153],[135 168 177],[167 197 207],[ 90 118 142],[47 68 89],[212 218 218],[203 203 193],[223 224 218],[214 216 211],[147 149 146],[137 139 138],[218 218 216],[213 213 211],[194 196 191],[196 198 193],[192 192 190],[211 211 209],[201 203 202],[170 172 171],[206 208 205],[207 209 206],[195 197 192],[173 175 170],[197 198 192],[216 217 211],[204 205 199],[194 195 189],[196 195 190],[202 201 196],[179 178 173],[183 182 177],[241 240 235],[68 73 76],[57 72 91],[23 49 76],[12 46 74],[ 74 106 131],[165 186 203],[19 33 44],[ 4 15 21],[ 0  7 14],[144 150 162],[100 106 120],[ 8 16 29],[0 2 9],[10  0  0],[91 73 59],[149 135 122],[29 20 13],[ 7  4 11],[ 0  2 12],[ 0 22 26],[31 72 78],[ 40  99 113],[ 53 116 134],[ 92 143 162],[37 74 92],[31 53 67],[60 76 91],[ 69  88 103],[55 83 94],[ 89 127 128],[126 173 167],[115 171 162],[113 169 160],[131 177 174],[45 79 78],[70 88 90],[17 27 29],[0 5 4],[0 4 3],[0 5 4],[0 2 2],[27 32 35],[158 163 167],[223 228 234],[166 171 177],[165 168 173],[161 165 168],[168 174 174],[158 167 166],[164 169 172],[168 173 179],[165 169 181],[172 178 192],[125 133 144],[33 43 52],[50 61 65],[ 90 105  98],[137 155 129],[149 169 134],[167 187 152],[178 200 162],[169 191 152],[159 181 142],[164 186 147],[159 181 143],[155 175 138],[171 191 154],[178 198 161],[166 187 148],[168 186 148],[180 198 158]
[203 204 196],[185 186 178],[189 190 184],[202 203 197],[165 166 160],[196 197 191],[248 249 244],[133 134 129],[104 105 100],[236 237 232],[208 209 204],[179 180 175],[169 171 166],[196 198 193],[193 195 190],[202 204 199],[206 208 203],[208 210 205],[212 214 211],[190 192 189],[202 204 201],[195 197 194],[195 197 194],[202 204 203],[201 203 202],[187 189 188],[185 187 186],[210 212 211],[186 188 187],[220 222 221],[172 174 173],[121 123 122],[206 211 207],[222 227 223],[198 198 198],[209 209 209],[188 187 185],[200 200 198],[196 197 192],[204 206 201],[180 184 183],[194 196 193],[214 210 207],[143 144 146],[52 70 84],[33 64 85],[ 42  82 108],[ 91 133 155],[133 166 175],[165 195 205],[ 88 116 140],[41 62 83],[219 225 225],[212 212 202],[213 214 208],[100 102  97],[173 175 172],[233 235 232],[202 202 200],[182 182 180],[211 213 208],[218 220 215],[196 196 194],[189 189 187],[197 199 196],[190 195 191],[195 197 194],[192 194 191],[189 191 186],[203 205 200],[224 225 220],[190 191 186],[200 201 195],[199 200 194],[162 163 157],[182 183 177],[204 205 200],[186 187 182],[195 196 191],[80 85 88],[38 54 69],[37 62 84],[143 174 202],[108 139 167],[121 148 169],[ 0 15 29],[ 1 14 20],[0 2 7],[144 156 168],[37 50 66],[32 44 56],[48 55 63],[9 4 8],[7 2 0],[6 5 1],[48 52 53],[37 45 58],[27 40 56],[38 61 67],[55 94 99],[ 75 133 147],[ 85 147 168],[ 91 143 165],[32 70 93],[41 59 81],[48 61 80],[ 70  92 106],[55 85 93],[ 77 119 115],[133 183 172],[116 166 157],[112 163 154],[130 177 167],[38 79 71],[48 78 78],[145 170 174],[68 93 97],[ 6 30 32],[0 6 5],[0 5 5],[0 4 3],[0 6 6],[10 15 18],[185 190 194],[219 223 226],[175 176 178],[169 169 169],[164 166 165],[165 171 171],[154 159 163],[164 167 174],[174 174 184],[169 168 182],[199 201 214],[111 115 127],[36 43 49],[100 113 104],[155 172 153],[160 180 152],[179 201 165],[159 181 143],[158 180 141],[168 185 149],[155 172 136],[156 177 138],[166 187 146],[181 199 159],[168 186 148],[180 198 160],[171 189 151]
[195 196 188],[198 199 191],[195 196 190],[165 166 160],[230 231 225],[219 220 214],[96 97 92],[175 176 171],[222 223 218],[195 196 191],[181 182 177],[203 204 199],[203 205 200],[201 203 198],[194 196 191],[199 201 196],[213 215 212],[206 208 207],[199 201 200],[194 196 195],[201 203 202],[197 199 198],[209 211 210],[197 199 198],[179 181 180],[193 195 194],[213 215 214],[204 206 205],[211 213 212],[126 128 127],[159 161 160],[227 229 228],[190 195 191],[209 214 210],[220 220 220],[199 199 199],[217 216 214],[186 186 184],[202 203 198],[203 208 202],[182 186 185],[205 210 206],[213 209 206],[137 138 140],[54 72 86],[30 61 82],[ 44  84 110],[ 94 136 158],[142 175 184],[153 183 193],[ 81 108 135],[53 74 95],[231 237 237],[166 166 156],[111 112 106],[233 235 230],[205 207 204],[186 188 185],[195 195 193],[203 203 201],[212 214 209],[187 189 184],[206 206 204],[186 188 185],[178 180 177],[195 200 196],[199 201 198],[204 206 203],[214 216 211],[202 204 199],[184 185 180],[212 213 208],[183 184 178],[189 190 184],[193 194 188],[203 204 199],[203 204 199],[195 196 191],[180 181 176],[27 32 35],[122 138 151],[188 213 235],[118 152 180],[ 95 128 159],[ 58  86 108],[ 9 28 43],[ 0 11 15],[ 2 12 14],[150 164 175],[33 49 62],[11 26 33],[ 0  6 12],[ 5 14 23],[ 0  2 12],[ 0  7 17],[ 0  5 19],[11 28 46],[29 48 65],[ 72  99 106],[ 89 130 136],[ 80 139 155],[ 81 143 166],[ 92 146 170],[ 40  77 103],[41 59 83],[48 60 82],[ 71  89 109],[55 83 94],[ 76 117 113],[137 184 174],[121 168 158],[118 165 155],[143 191 179],[41 84 75],[32 66 65],[149 180 183],[139 177 178],[124 162 163],[ 67 101 100],[ 1 30 28],[ 0 10 10],[0 5 5],[0 6 6],[0 4 5],[24 28 31],[166 167 169],[205 205 205],[181 181 181],[170 175 178],[165 170 173],[172 173 177],[162 161 167],[171 167 181],[165 163 177],[185 184 198],[190 194 205],[87 97 99],[52 67 60],[133 152 133],[187 207 182],[170 188 162],[176 195 165],[162 179 147],[160 177 141],[154 172 134],[171 192 151],[185 203 163],[165 183 143],[164 182 144],[182 200 162]
